Designator,Footprint,Quantity,Value,LCSC Part #
ANT2,SAMM10Q00B,1,SAM-M10Q-00B,
BZ1,CMT32265SMTTR,1,Buzzer,
"C1, C11, C13, C14, C17, C19, C2, C20, C21, C22, C25, C28, C29, C3, C30, C32, C34, C38, C4, C40, C5, C6, C8, C9",0402,24,100nF,
C10,0402,1,10nF,
"C12, C15, C18, C23, C24, C27, C31, C33, C35",0402,9,4.7uF,
"C16, C26",0402,2,2.2uF,
"C36, C37, C39, C7",0402,4,10uF,
D1,SOT-23,1,SP0502BAHT,
"D10, D9",D_SOD-123,2,1N4148W,
"D11, D4, D5, D6",0603,4,LED,
D2,0201,1,ESD441DPLR,
"D7, D8",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,2,SK6812MINI,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965,4,MountingHole,
IC1,HSCMRRD100PDSA3,1,HSCMRRD100PDSA3,
IC2,BGA9C40P3X3_128X128X54,1,BMM350,
IC3,PQFN50P450X300X100-16N,1,BMI088,
IC4,SON65P300X300X100-9N-D,1,TPS2113ADRBR,
J1,GCT_USB4105-GF-A,1,USB4105-GF-A,
"J4, J6",Power_supply_2_PAD,2,Conn_01x02,
J5,JST_SM04B-GHS-TB(LF)(SN)-,1,JST_GHR,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SolderJumper_2_Open,
"JP3, JP4, JP5",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,Jumper_2_Open,
L1,LQH32CH100K53L,1,LQH32PN2R2NN0L,
"Q1, Q2",SOT-23_Handsoldering,2,Q_NPN_BCE,
"Q3, Q7",SOT-23_Handsoldering,2,Q_NMOS_GSD,
Q4,SOIC-8_3.9x4.9mm_P1.27mm,1,IRF7404,
R1,0402,1,22.1K,
"R10, R11, R18, R19, R23, R24, R28, R29, R31, R33, R35, R37, R38, R42, R5, R6, R9",0402,17,10K,
"R12, R32, R45",0402,3,100R,
"R13, R46",0402,2,33K,
R14,0402,1,1M,
R15,0402,1,249K,
"R16, R20, R27, R4, R43, R44",0402,6,1K,
R17,0402,1,100K,
R2,0402,1,47.5K,
R21,0402,1,2K,
R22,0402,1,50K,
R3,0402,1,10K(NC),
"R34, R36",0402,2,330R,
R39,0402,1,25K,
R40,0402,1,11K,
R41,0402,1,33R,
R47,0402,1,4.7K,
R7,0402,1,560R,
R8,0402,1,1.2K,
SW1,SW_DS04-254-1L-01BK,1,DS04-254-1L-01BK,
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-A01-GQFN24,
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SOT-23-5,1,MCP73831-5-OT,
"U4, U8",TLV75901PDRVT,2,TLV75901PDRVT,
U5,SOT-23-5,1,TPS613222ADBV,
U6,MPRLS0025PA00001A,1,MPRLS0025PA00002A,
U7,SOT-23-5,1,XB5353A,
U9,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,XTSD02G,
