Designator,Mid X,Mid Y,Rotation,Layer
ANT2,159.516,-51.689,0.0,top
BZ1,171.0182,-60.368,180.0,top
C1,145.85,-93.0364,270.0,top
C10,158.5675,-102.4,0.0,top
C11,136.7028,-74.8538,0.0,top
C12,135.0,-101.5,270.0,bottom
C13,136.7161,-69.088,0.0,top
C14,141.205,-68.834,90.0,top
C15,134.8,-113.4,90.0,bottom
C16,144.126,-71.12,0.0,top
C17,132.842,-50.038,270.0,top
C18,141.0,-101.1,0.0,bottom
C19,144.3675,-104.85,270.0,bottom
C2,139.2188,-93.0364,270.0,top
C20,156.4132,-67.875,90.0,top
C21,136.8,-99.5,90.0,top
C22,149.375,-68.0825,90.0,top
C23,159.13895,-102.885,270.0,bottom
C24,165.7945,-69.3,0.0,top
C25,145.9294,-69.3674,270.0,top
C26,158.5675,-104.6,180.0,top
C27,155.448,-102.2517,270.0,top
C28,168.0718,-46.5836,270.0,top
C29,168.0718,-44.2381,90.0,top
C3,154.3304,-102.2517,90.0,top
C30,136.4,-113.4,90.0,bottom
C31,159.1325,-108.2,180.0,bottom
C32,158.08895,-102.885,270.0,bottom
C33,166.9,-107.6675,90.0,bottom
C34,168.05,-107.6675,90.0,bottom
C35,167.349999,-102.45,0.0,bottom
C36,141.4675,-108.35,0.0,bottom
C37,143.2675,-107.35,90.0,bottom
C38,141.4675,-109.45,0.0,bottom
C39,143.2675,-104.85,270.0,bottom
C4,150.5712,-52.2478,270.0,top
C40,144.3675,-107.35,90.0,bottom
C5,165.7945,-70.4,180.0,top
C6,162.687,-69.85,270.0,top
C7,165.7945,-68.199,0.0,top
C8,141.8844,-59.8932,90.0,top
C9,158.5675,-103.5,0.0,top
D1,151.95,-103.9,270.0,top
D10,137.9728,-71.9582,180.0,top
D11,139.6746,-87.4014,90.0,top
D2,154.9908,-106.172,270.0,top
D4,144.8,-113.0,90.0,top
D5,133.6746,-87.4014,90.0,top
D6,136.6746,-87.4014,270.0,top
D7,139.7736,-83.0072,0.0,top
D8,133.3754,-83.0072,0.0,top
D9,137.9474,-77.9018,180.0,top
IC1,141.732,-50.546,270.0,top
IC2,143.5608,-68.7896,0.0,top
IC3,153.115,-66.56,180.0,top
IC4,140.5175,-105.975,180.0,bottom
J1,153.5175,-111.985,0.0,top
J4,133.3,-110.18,270.0,top
J5,132.378,-72.0598,270.0,top
J6,170.18,-110.18,270.0,top
L1,132.4,-106.8,270.0,bottom
Q1,144.0688,-97.8916,270.0,top
Q2,140.3495,-97.8916,90.0,top
Q3,165.378,-62.6364,180.0,top
Q4,141.3,-106.5,90.0,top
Q7,164.0307,-107.0443,270.0,top
R1,156.3624,-99.6328,180.0,top
R10,146.1262,-59.563,90.0,top
R11,144.6276,-59.563,90.0,top
R12,165.7471,-65.1002,180.0,top
R13,161.9504,-62.2808,270.0,top
R14,135.382,-92.7608,270.0,top
R15,136.6012,-92.7608,90.0,top
R16,137.6675,-104.45,270.0,bottom
R17,137.6675,-107.55,90.0,bottom
R18,164.5,-94.25,0.0,top
R19,164.5,-93.1,0.0,top
R2,156.3624,-98.4828,0.0,top
R20,143.25,-113.05,270.0,top
R21,137.1,-98.6,180.0,bottom
R22,160.98895,-103.4525,0.0,bottom
R23,160.98895,-102.3525,180.0,bottom
R24,161.58895,-108.2025,0.0,bottom
R27,135.1746,-87.4014,90.0,top
R28,144.7356,-65.8368,90.0,top
R29,143.5418,-65.8368,90.0,top
R3,156.35,-96.1,0.0,top
R31,157.5308,-67.8942,90.0,top
R32,137.9,-99.5,270.0,top
R33,148.2344,-68.0974,90.0,top
R34,136.7028,-73.7616,180.0,top
R35,136.7282,-75.946,0.0,top
R36,136.7161,-70.1802,180.0,top
R37,136.6907,-67.9958,0.0,top
R38,165.0525,-102.45,180.0,bottom
R39,165.05,-107.1,180.0,bottom
R4,156.3624,-97.3328,0.0,top
R40,165.05,-108.2,0.0,bottom
R41,164.5,-95.4,0.0,top
R42,158.95,-95.075,270.0,top
R43,141.1746,-87.4014,90.0,top
R44,138.1746,-87.4014,270.0,top
R45,161.4,-105.9025,90.0,top
R46,161.4,-108.4425,270.0,top
R47,136.4675,-107.2525,270.0,bottom
R5,147.6756,-99.6696,180.0,top
R6,147.6756,-96.2152,180.0,top
R7,171.6278,-64.0334,180.0,top
R8,136.4675,-104.8525,270.0,bottom
R9,163.83,-69.85,90.0,top
SW1,132.1308,-97.0261,270.0,top
U1,151.9,-98.425,180.0,top
U2,158.2116,-81.2676,270.0,top
U3,137.7,-101.1,180.0,bottom
U4,161.4,-105.9025,270.0,bottom
U5,132.2,-113.0375,90.0,bottom
U6,137.0584,-62.2046,90.0,top
U7,136.45,-96.1625,270.0,top
U8,165.23895,-104.75,90.0,bottom
U9,164.45,-99.405,180.0,top
