Designator,Footprint,Quantity,Value,LCSC Part #
Buzzer1,Buzzer_fi10mm_P5mm,1,CMI-9605IC-0580T,
"C1, C3",0603,2,100nF,
"C10, C2",0603,2,1uF,
"C11, C5, C6, C8",0805,4,1uF,
"C12, C4",0805,2,10uF,
C7,0805,1,100uF,
C9,1206,1,10uF,
"D1, D10, D11, D2, D3, D4, D7",0805,7,LED,
D5,PinHeader_1x02_P2.54mm_Vertical_led_relayboard_lpbox,1,D,
D6,SOT-23,1,SP0502BAHT,
D8,0805,1,SD15_SOD323,
DS1,WC1602A,1,WC1602A,
F1,0805,1,Fuse,
"J1, J3",XY2500R-DS(5.08)-02P,2,Conn_01x02,
J2,GCT_USB4105-GF-A,1,USB4105-GF-A,
K1,Relay_DPDT_Finder_40.52,1,RM84,
LA1,PinHeader_1x02_P2.54mm_Vertical_led_relayboard_lpbox,1,Lamp,
Q2,SOT-23,1,BSS138,
Q3,SOIC-8_3.9x4.9mm_P1.27mm,1,IRF9393PBF,
"Q4, Q5, Q6",SOT-23_Handsoldering,3,BC817,
"R1, R2, R20, R21, R3, R4, R5, R6",0603,8,10k,
R10,0603,1,240R,
R11,0603,1,47R,
"R12, R18, R19, R25, R26",0603,5,1k,
R13,0603,1,100R,
R14,0603,1,33k,
R15,0603,1,22.1K,
R16,0603,1,47.5K,
R17,0603,1,10K(NC),
R22,0805,1,100k,
R23,0805,1,20k,
"R7, R8, R9",0603,3,2k,
RV1,Potentiometer_Bourns_3296W_Vertical,1,R_Potentiometer,
"SW1, SW2, SW3, SW4, SW5, SW6",SW_PUSH_6mm,6,SW_Push,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,DIP-6_W7.62mm,1,4N35,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LM78L05_SO8,
U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-A01-GQFN24,
U5,TLV75901PDRVT,1,TLV75901PDRVT,
