Designator,Mid X,Mid Y,Rotation,Layer
Buzzer1,165.0,-129.1,180.0,top
C1,120.5,-91.0,270.0,bottom
C10,107.8,-103.05,270.0,bottom
C11,114.05,-107.7,270.0,bottom
C12,104.85,-101.6,0.0,bottom
C2,118.75,-91.0,90.0,bottom
C3,115.0,-91.0,90.0,bottom
C4,113.0,-91.0,270.0,bottom
C5,117.6,-117.0,90.0,bottom
C6,99.6625,-108.274999,0.0,bottom
C7,99.6625,-106.024999,0.0,bottom
C8,105.25,-107.249999,270.0,bottom
C9,104.3,-103.9,0.0,bottom
D1,131.0,-133.0,0.0,top
D10,105.9,-114.9,90.0,top
D11,157.55,-134.75,270.0,top
D2,140.0,-133.0,0.0,top
D3,149.0,-133.0,0.0,top
D4,159.4,-122.7,90.0,top
D5,181.2425,-79.665,180.0,top
D6,101.3125,-96.75,180.0,bottom
D7,112.2,-114.9,90.0,top
D8,102.9,-107.199999,90.0,bottom
DS1,130.94,-94.5075,0.0,top
F1,107.11875,-127.3,180.0,bottom
J1,178.6,-130.0,90.0,top
J2,93.565,-95.3375,90.0,bottom
J3,96.89375,-130.0,270.0,top
K1,178.3925,-98.8575,270.0,top
LA1,174.8925,-79.65,0.0,top
Q2,158.63125,-110.95,0.0,bottom
Q3,105.75,-115.2,180.0,bottom
Q4,120.25,-96.1,180.0,bottom
Q5,116.85,-100.7125,180.0,bottom
Q6,168.35,-87.15,0.0,bottom
R1,116.75,-91.0,90.0,bottom
R10,156.19375,-90.9,180.0,bottom
R11,141.1,-79.15,180.0,bottom
R12,167.5125,-90.4,0.0,bottom
R13,153.19375,-110.9,270.0,bottom
R14,155.19375,-110.8125,270.0,bottom
R15,105.25,-92.5,270.0,bottom
R16,107.0,-92.5,90.0,bottom
R17,114.05,-94.5,180.0,bottom
R18,109.25,-92.5,90.0,bottom
R19,112.4875,-117.7,0.0,top
R2,148.85,-125.7375,90.0,bottom
R20,116.5,-96.85,90.0,bottom
R21,121.45,-99.05,180.0,bottom
R22,111.75,-107.7,270.0,bottom
R23,108.45,-109.75,0.0,bottom
R25,106.0,-117.8,0.0,top
R26,159.6,-134.65,270.0,top
R3,138.1,-125.4875,90.0,bottom
R4,127.1,-125.65,90.0,bottom
R5,144.19375,-117.65,90.0,bottom
R6,131.6,-117.7375,90.0,bottom
R7,127.0375,-133.1,90.0,bottom
R8,137.0375,-133.1,90.0,bottom
R9,144.4375,-133.1,90.0,bottom
RV1,95.88375,-116.3,0.0,top
SW1,148.6,-125.65,180.0,top
SW2,137.85,-125.65,180.0,top
SW3,127.35,-125.65,180.0,top
SW4,143.6,-117.4,180.0,top
SW5,131.6,-117.4,180.0,top
SW6,112.74375,-129.55,180.0,top
U1,142.54375,-97.85,270.0,bottom
U2,165.9,-118.0,0.0,top
U3,112.99875,-115.2,180.0,bottom
U4,109.5625,-97.25,270.0,bottom
U5,108.5,-107.011049,0.0,bottom
